Question,Answer
What schemes are available for elder care?,"Depending on your needs, there are several schemes to support you caregiving for your loved ones. Here are a few. CareShield Life provides financial support for severe disability during old age. ElderFund offers a monthly cash supplement to severely disabled lower-income seniors who may not benefit from other schemes. ElderShield also provides basic financial support for severe disability. The Enhancement for Active Seniors (EASE) scheme provides subsidies for home modifications, such as grab bars and ramps, to assist seniors with mobility. The Home Caregiving Grant (HCG) offers financial support to help cover caregiving expenses for households caring for individuals with moderate to severe disabilities. MediSave Care allows Singapore Citizens and Permanent Residents to make monthly cash withdrawals from their MediSave accounts to fund long-term care. Additionally, the Seniors' Mobility and Enabling Fund (SMF) provides subsidies for mobility and assistive devices."
What schemes can help caregivers?,"The Caregiver Training Grant (CTG) provides subsidies to offset the cost of training courses for caregivers, helping them develop the skills needed for caregiving. AIC Caregiver Support offers a range of services, including respite care, financial assistance, and training programs. Caregiver Alliance Ltd (CAL) supports caregivers by offering training, counselling, and support groups. TOUCH Caregivers Support provides various services such as training, support groups, respite care, and counselling. Silver Ribbon (Singapore) promotes mental health literacy and offers counselling and support specifically for caregivers dealing with elderly mental health issues. MindCare (AMKFSC Community Services) provides counselling, case management, and psycho-education for caregivers. SAGE Counselling Centre also offers specialised counselling services and support groups for caregivers of individuals with dementia or other mental health conditions."
Are there subsidies for medical services?,"Absolutely. With the Medical Fee Exemption Card, Singapore Citizens and Permanent Residents can receive coverage for standard medical and hospitalisation treatment at government or restructured hospitals, polyclinics, and approved intermediate and long-term care services if they need financial assistance. The Medical Fee Exemption Card (MFEC) allows holders to receive consultations, treatments, medications, or hospitalisations without payment. To be eligible, applicants must have savings of $6,000 or less and a monthly per capita family income of $800 or less. They must also reside in MOH-funded nursing homes or MSF-funded sheltered and disability homes and be either a Singapore citizen, Permanent Resident, or a stateless person with appropriate documents from the Immigration and Checkpoints Authority. To find out more about the eligibility criteria and how to apply, you can contact the Agency of Integrated Care Hotline at 1800 650 6060 or visit AIC’s Medical Fee Exemption Card page (https://www.aic.sg/financial-assistance/medical-fee-exemption-card-mfec/)."
I need long term financial help as I permanently cannot work,"If you need long term financial assistance, ComCare Long-Term Assistance (LTA) provides support for those who are permanently unable to work. The ComCare Long-Term Assistance provides long-term assistance to individuals who are permanently unable to work due to old age, illness, or disability and lack adequate family support or savings to meet their daily needs. Benefits include monthly cash assistance for living expenses, help with medical expenses at public healthcare institutions, and free or highly subsidised access to social support services. For assistance, contact the ComCare Hotline at 1800 222 0000, or visit your nearest Social Service Office."
I need short term financial help as I am not working,"The ComCare Short-To-Medium-Term Assistance provides temporary financial assistance to lower-income individuals or families who are temporarily unable to work, are looking for a job, or are earning a low income and need support. Benefits include monthly cash assistance for living expenses, help with household bills such as rental, utilities, and service and conservancy charges, medical assistance at public healthcare institutions, employment assistance including job search and training, and referrals to other relevant services. To be eligible, you must be a Singapore Citizen or Permanent Resident (with at least one immediate family member in the same household being a Singapore Citizen), have little or no family support, savings, or assets to rely on for daily needs, and be looking for work or temporarily unable to work due to illness or the need to care for children, the elderly, or other dependents. The program is generally for those with a monthly household income per capita of $800 and below, but even if your income exceeds these guidelines, you can still approach a Social Service Office (SSO) for assessment if you face financial difficulties. For help, contact the ComCare Hotline at 1800 222 0000 or visit your nearest Social Service Office."
What help can I get to buy devices for my loved one with disabilities?,"You can apply for the Assistive Technology Fund (ATF), which provides subsidies to assist persons with disabilities (PWDs) in purchasing assistive technology devices that support independent living. These subsidies cover up to 90% of the cost of the necessary equipment, with a lifetime cap of $40,000. The exact subsidy amount depends on the applicant's monthly household income. The funds can be used to buy, replace, upgrade, or repair assistive technology devices.To qualify for this grant, applicants must be Singapore Citizens or Permanent Residents with a certified permanent disability, such as a physical disability, visual impairment, hearing loss, intellectual disability, or autism spectrum disorder. Applicants must also undergo an assessment by a qualified assessor to determine the need and type of device(s). Additionally, the monthly household income per capita should be $2,000 or below. Applications can be made through a therapist or social worker at hospitals and social service agencies. For more information, you can contact SG Enable through their hotline at 1800-8585-885."
How to get training to be a better caregiver?,"The Caregiver Training Grant (CTG) offers subsidies to help cover the costs of training courses that equip them with essential skills for caring for the physical and emotional needs of their loved ones. This subsidy provides caregivers with an annual amount of $200 to attend approved courses, with the $200 being allocated per care recipient each financial year (April to March). If multiple caregivers are looking after the same individual, they will need to share this subsidy among themselves. To be eligible for this subsidy, the care recipient must be a Singapore Citizen or Permanent Resident and either be aged 65 or older or have a disability that has been assessed by a qualified healthcare practitioner. The caregiver can be any person responsible for the care recipient, including family members or foreign domestic workers. To find out more about the eligibility criteria and how to apply, you can contact the Agency of Integrated Care Hotline at 1800 650 6060 or visit AIC's official page on Caregiver Training Grant (https://www.aic.sg/financial-assistance/caregivers-training-grant-ctg/)."
"What is CareShield Life, and how can it help me?","CareShield Life provides basic financial support for Singapore Citizens and Permanent Residents who have severe disabilities, especially in old age. This support includes lifetime cash payouts as long as the individual has a severe disability. In 2024, the monthly payout is $649, and it will increase annually until the individual reaches age 67 or upon successful claim, whichever comes first.To be eligible for this benefit, you must be a Singapore Citizen or Permanent Resident and a CareShield Life policyholder. Additionally, you must be assessed by an MOH-accredited severe disability assessor and determined to be unable to perform at least three of the following six Activities of Daily Living (ADLs): washing, dressing, feeding, toileting, walking or moving around, and transferring. To find out more about the eligibility criteria and how to apply, you can contact the Agency of Integrated Care Hotline at 1800 650 6060 or visit AIC's official page on CareShield Life (https://www.aic.sg/financial-assistance/careshield-life/)."
How can I get subsidies for medical and dental care?,"The Community Health Assist Scheme program provides subsidies for medical and dental care at participating general practitioners and dental clinics for all Singapore Citizens. Benefits include subsidies at participating clinics for selected illnesses, conditions, and dental services, as well as subsidised nationally recommended health screenings and vaccinations. To be eligible, you must be a Singapore Citizen. The subsidy levels are categorised based on household income. To find out more about the eligibility criteria and how to apply, you can contact the CHAS Hotline at 1800 275 2427 or visit CHAS's official page on the scheme (https://www.chas.sg/contact-us/application-or-renewal-status)."
What does ElderFund offer for lower-income elderly citizens?,"The ElderFund program provides a monthly cash supplement to severely disabled, lower-income Singapore Citizens who are not able to benefit from other schemes and have low MediSave balances and inadequate personal savings to meet their long-term care needs. Eligible Singapore Citizens can receive up to $250 cash per month as long as they remain eligible and meet the necessary terms and conditions. To be eligible, the care recipient must be a Singapore Citizen aged 30 and above, living in Singapore, with a monthly household income per capita of $1,200 or less, and a MediSave balance of less than $10,000. They must also be assessed by an MOH-accredited assessor as being unable to perform three out of the following six Activities of Daily Living (ADLs): washing, dressing, feeding, toileting, walking or moving around, and transferring. The care recipient must not be a CareShield Life or ElderShield policyholder, not a recipient of CareShield Life or ElderShield supplement claims, and not eligible for the Interim Disability Assistance Programme for the Elderly (IDAPE) or no longer an active recipient of IDAPE. Applications from Singaporeans who do not meet the financial criteria but have difficulty meeting their long-term care needs will be considered on a case-by-case basis. To find out more about the eligibility criteria and how to apply, you can contact the Agency of Integrated Care Hotline at 1800 650 6060 or visit AIC's official page on ElderFund (https://www.aic.sg/financial-assistance/elderfund)."
How to apply for ElderShield?,"The ElderShield provides basic financial support to Singapore Citizens and Permanent Residents with severe disabilities, particularly during old age when long-term care is needed. Eligible individuals receive monthly cash payouts of $300 or $400 for up to 5 or 6 years upon severe disability, depending on the plan. To be eligible, you must be a Singapore Citizen or Permanent Resident and an ElderShield policyholder. You must also be assessed by an MOH-accredited severe disability assessor as being unable to perform three out of the following six Activities of Daily Living (ADLs): washing, dressing, feeding, toileting, walking or moving around, and transferring. To find out more about the eligibility criteria and how to apply, you can contact the Agency of Integrated Care Hotline at 1800 650 6060 or visit AIC's official page on ElderShield (https://www.aic.sg/financial-assistance/eldershield/)"
What extra benefits does the ElderShield & CareShield Life Supplement provide?,"The ElderShield & CareShield Supplement program offers additional benefits for CareShield Life or ElderShield policyholders, including higher payouts and enhanced coverage. It allows you to complement your existing plan with extra benefits like increased monthly payouts and the flexibility to purchase multiple supplement policies for even greater coverage. Premiums for these supplements can be paid either in cash or by using your or your family member’s MediSave, with a limit of $600 per calendar year per insured person. If you already have Supplements under ElderShield and choose to join CareShield Life, you can maintain your previous policy and claim from both. To be eligible, you must be a Singapore Citizen or Permanent Resident and an existing CareShield Life or ElderShield policyholder. To find out more about the eligibility criteria and how to apply, you can contact the Healthcare Hotline at 1800-222-3399 or visit MOH's official page on The ElderShield & CareShield Supplement (https://www.careshieldlife.gov.sg/supplements.html)."
Can I get help to make my home safer for seniors?,"Yes, the Enhancement for Active Seniors (EASE) scheme provides subsidies for Singapore Citizen households with at least one senior who meets the age criteria and needs assistance to install grab bars, slip-resistant treatment, and ramps. Depending on your flat type, the subsidy can cover up to 95% of the total improvement cost. To be eligible, the household must have a senior aged 65 and above, or between 60 and 64 who requires assistance with one or more of the Activities of Daily Living (ADLs): eating, bathing, dressing, transferring, toileting, or walking or moving around. To find out more about the eligibility criteria and how to apply, you can contact the Agency of Integrated Care Hotline at 1800 650 6060 or visit AIC's official page on Enhancement for Active Seniors (https://www.aic.sg/financial-assistance/enhancement-for-active-seniors-ease/)."
How does the Foreign Domestic Worker Grant work?,"The Foreign Domestic Worker (FDW) levy concession allows families to pay a reduced levy of $60 per month if they meet the qualifying criteria. Each household is eligible for up to two MDW levy concessions, which can be used for caring for up to two loved ones at the same time. To be eligible, you must live with an eligible person who is a Singapore Citizen, with an elderly person who is at least 67 years old, or a person with disabilities (PWD). The eligible person must be certified by a Singapore-registered doctor to require help with at least one activity of daily living (ADL), including showering, feeding, dressing, toileting, transferring, and walking or moving around. Alternatively, if you are a Singapore Citizen living with an eligible Permanent Resident, such as a parent, parent-in-law, grandparent, or grandparent-in-law who is at least 67 years old, or a parent, spouse, or child with disabilities, you may also qualify. To find out more about the eligibility criteria and how to apply, you can contact the Agency of Integrated Care Hotline at 1800 650 6060 or visit AIC's official page on Foreign Domestic Worker (https://www.aic.sg/financial-assistance/migrant-domestic-worker-mdw-levy-concession/)."
What financial support is available for caregiving expenses?,"The Home Caregiving Grant provides financial support to assist with caregiving expenses for households caring for persons with moderate to severe disabilities. The grant offers a monthly cash payout of $250 or $400, depending on eligibility. To qualify, the care recipient must be a Singapore Citizen or Permanent Resident, living with a Singapore Citizen parent, child, or spouse, and residing in Singapore. They must require permanent assistance with at least three of the six Activities of Daily Living (ADLs)—Eating, Bathing, Dressing, Transferring, Toileting, Walking or moving around—and have a monthly household income per capita of $2,800 or less, or a property annual value of $21,000 or below for households with no income. Households with multiple properties will receive the lower payout of $250 per month. The care recipient should not be residing in a long-term care institution like a nursing home. To find out more about the eligibility criteria and how to apply, you can contact the Agency of Integrated Care Hotline at 1800 650 6060 or visit AIC's official page on Home Caregiving Grant (https://www.aic.sg/financial-assistance/home-caregiving-grant-hcg/)."
What is the Interim Disability Assistance Scheme for Elderly?,"The Interim Disability Assistance Programme for the Elderly (IDAPE) provides a monthly cash supplement for elderly Singapore Citizens with disabilities who are not eligible for ElderShield due to age criteria or pre-existing disabilities. Seniors who develop severe disabilities can receive a monthly cash payout of $150 or $250, depending on their financial circumstances, for up to 72 months. To be eligible, applicants must be born on or before 30 September 1932, or born between 1 October 1932 and 30 September 1962 with pre-existing disabilities as of 30 September 2002. They must be a Singapore Citizen, live in Singapore, have a monthly household income per capita of $2,800 or less (or a property annual value of $21,000 or below for households with no income), and must not be a policyholder of CareShield Life and/or its supplements, or ElderShield and/or its supplements. They should not have made any claims for CareShield Life and/or its supplements, or ElderShield and/or its supplements. To find out more about the eligibility criteria and how to apply, you can contact the contact the Agency of Integrated Care Hotline at 1800 650 6060 or visit AIC's official page on Interim Disability Assistance Programme (https://www.aic.sg/financial-assistance/interim-disability-assistance-programme-for-the-elderly-idape/)."
How can MediSave Care help with long-term care?,"With Medisave Care, Singapore Citizens and Permanent Residents with severe disabilities can make monthly cash withdrawals from their own and/or their spouse’s MediSave Account for long-term care. The benefit allows for withdrawals of up to $200 per month, depending on the care recipient and/or their spouse’s MediSave Account balance. Eligibility criteria include being a Singapore Citizen or Permanent Resident aged 30 and above, and being assessed by an MOH-accredited assessor as unable to perform three out of the six Activities of Daily Living (ADLs): washing, dressing, feeding, toileting, walking or moving around, and transferring. The MediSave Account balance must be at least $5,000. To find out more about the eligibility criteria and how to apply, you can contact the contact the Agency of Integrated Care Hotline at 1800 650 6060 or visit AIC's official page on Medisave Care https://www.aic.sg/financial-assistance/medisave-care/)."
What are MediShield Life Premium Subsidies?,"MediShield Life Premium Subsidies help make MediShield Life premiums more affordable for Singapore Citizens. The Government provides several premium support measures, such as Premium Subsidies, Pioneer Generation Subsidies, and Merdeka Generation Subsidies. Benefits include Premium Subsidies of up to 50% for eligible lower-to-middle-income households, Special Pioneer Generation Subsidies of between 40-60% depending on age, and additional Merdeka Generation Subsidies of between 5-10% depending on age. To find out more about the eligibility criteria and how to apply, you can contact the Healthcare Hotline at 1800-222-3399 or visit Ministry of Health's official page on MediShield Life Premium Subsidies (https://www.moh.gov.sg/healthcare-schemes-subsidies/medishield-life/medishield-life-premiums-and-subsidies)."
How does the Pioneer Generation Disability Assistance Scheme work?,"The Pioneer Generation Disability Assistance Scheme honours what Singapore's Pioneers have done for the country and provides Pioneers with moderate or severe functional disabilities with cash assistance for everyday expenses. The benefits include cash payouts of $100 per month for expenses. To be eligible, the individual must be a Pioneer. You can check your loved one's Pioneer status via the Singpass Mobile App, where seniors may log on to view their eligibility status. Additionally, the individual must live in Singapore and always require some assistance on a permanent basis with at least 3 of the 6 Activities of Daily Living (ADLs), which include eating, bathing, dressing, transferring, toileting, and walking or moving around. To find out more about the eligibility criteria and how to apply, you can contact Agency for Integrated Care Hotline at 1800 650 6060 or visit AIC's official page on Pioneer Generation Disability Assistance Scheme (https://www.aic.sg/financial-assistance/pioneer-generation-disability-assistance-scheme/)."
Can seniors get help for mobility devices and home healthcare?,"Yes, the Seniors’ Mobility and Enabling Fund (SMF) provides subsidies to seniors for mobility and assistive devices or home healthcare items to support ageing in place. Eligible seniors who live at home may apply for subsidies of up to 90% of the cost of a mobility aid or 90% of the maximum device subsidy cap, whichever is lower. These subsidies cover assistive devices such as walking sticks, wheelchairs, geriatric chairs, commodes, pressure relief mattresses, hospital beds, spectacles, and hearing aids. Additionally, subsidies are available for home healthcare items, including milk feeds and diapers. To be eligible for these subsidies, individuals must be 60 years old or above, Singapore Citizens, and have a monthly household income per capita of $2,000 or less (or a property annual value of $21,000 or below for households with no income). To find out more about the eligibility criteria and how to apply, you can contact Agency for Integrated Care Hotline at 1800 650 6060 or visit AIC's official page on SMF (https://www.aic.sg/financial-assistance/seniors-mobility-and-enabling-fund-smf/)"
How does the Silver Support Scheme benefit eligible seniors?,"The Silver Support Scheme provides a quarterly cash supplement to give eligible seniors greater assurance in retirement. The benefits include current quarterly cash payments ranging from $180 to $900, depending on HDB flat type and monthly per capita household income. From 2025, the payments will increase to between $215 and $1,080, also depending on HDB flat type and monthly per capita household income. For information on eligibility and how to apply, you can contact the Silver Support Hotline at 1800 227 1188 or visit CPF’s official page on Silver Support Scheme (https://www.cpf.gov.sg/member/retirement-income/government-support/silver-support-scheme)."
